instance_id,db_id,query,question,query_toks,query_toks_no_value,question_toks,modified question,generated_query
975,dog_kennels,SELECT count(*) FROM Dogs WHERE age  <  ( SELECT avg(age) FROM Dogs ),Count the number of dogs of an age below the average.,"['SELECT', 'count', '(', '*', ')', 'FROM', 'Dogs', 'WHERE', 'age', '<', '(', 'SELECT', 'avg', '(', 'age', ')', 'FROM', 'Dogs', ')']","['select', 'count', '(', '*', ')', 'from', 'dogs', 'where', 'age', '<', '(', 'select', 'avg', '(', 'age', ')', 'from', 'dogs', ')']","['Count', 'the', 'number', 'of', 'dogs', 'of', 'an', 'age', 'below', 'the', 'average', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Count the number of dogs of an age below the average. <query> ",<strong>SELECT count(*) FROM dog WHERE age < (SELECT avg(age) FROM dog)</strong>
976,dog_kennels,SELECT cost_of_treatment FROM Treatments ORDER BY date_of_treatment DESC LIMIT 1,How much does the most recent treatment cost?,"['SELECT', 'cost_of_treatment', 'FROM', 'Treatments', 'ORDER', 'BY', 'date_of_treatment', 'DESC', 'LIMIT', '1']","['select', 'cost_of_treatment', 'from', 'treatments', 'order', 'by', 'date_of_treatment', 'desc', 'limit', 'value']","['How', 'much', 'does', 'the', 'most', 'recent', 'treatment', 'cost', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How much does the most recent treatment cost? <query> ",<strong>SELECT T2.treatment_cost FROM treatment AS T1 JOIN patient_treatment AS T2 ON T1.treatment_id  =  T2.treatment_id GROUP BY T1.treatment_id ORDER BY T2.treatment_date DESC LIMIT 1</strong>
977,dog_kennels,SELECT cost_of_treatment FROM Treatments ORDER BY date_of_treatment DESC LIMIT 1,Show me the cost of the most recently performed treatment.,"['SELECT', 'cost_of_treatment', 'FROM', 'Treatments', 'ORDER', 'BY', 'date_of_treatment', 'DESC', 'LIMIT', '1']","['select', 'cost_of_treatment', 'from', 'treatments', 'order', 'by', 'date_of_treatment', 'desc', 'limit', 'value']","['Show', 'me', 'the', 'cost', 'of', 'the', 'most', 'recently', 'performed', 'treatment', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show me the cost of the most recently performed treatment. <query> ",<strong>SELECT T2.cost FROM treatment AS T1 JOIN patient AS T2 ON T1.patient_id  =  T2.patient_id ORDER BY T1.date DESC LIMIT 1</strong>
978,dog_kennels,SELECT count(*) FROM Dogs WHERE dog_id NOT IN ( SELECT dog_id FROM Treatments ),How many dogs have not gone through any treatment?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'Dogs', 'WHERE', 'dog_id', 'NOT', 'IN', '(', 'SELECT', 'dog_id', 'FROM', 'Treatments', ')']","['select', 'count', '(', '*', ')', 'from', 'dogs', 'where', 'dog_id', 'not', 'in', '(', 'select', 'dog_id', 'from', 'treatments', ')']","['How', 'many', 'dogs', 'have', 'not', 'gone', 'through', 'any', 'treatment', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many dogs have not gone through any treatment? <query> ",<strong>SELECT count(*) FROM dog WHERE dog_id NOT IN (SELECT dog_id FROM treatment)</strong>
979,dog_kennels,select count(*) from dogs where dog_id not in ( select dog_id from treatments ),Tell me the number of dogs that have not received any treatment .,"['select', 'count', '(', '*', ')', 'from', 'dogs', 'where', 'dog_id', 'not', 'in', '(', 'select', 'dog_id', 'from', 'treatments', ')']","['select', 'count', '(', '*', ')', 'from', 'dogs', 'where', 'dog_id', 'not', 'in', '(', 'select', 'dog_id', 'from', 'treatments', ')']","['Tell', 'me', 'the', 'number', 'of', 'dogs', 'that', 'have', 'not', 'received', 'any', 'treatment', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Tell me the number of dogs that have not received any treatment . <query> ",<strong>SELECT count(*) FROM dog WHERE dog_id NOT IN (SELECT dog_id FROM treatment)</strong>
980,dog_kennels,SELECT count(*) FROM Owners WHERE owner_id NOT IN ( SELECT owner_id FROM Dogs ),How many owners temporarily do not have any dogs?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'Owners', 'WHERE', 'owner_id', 'NOT', 'IN', '(', 'SELECT', 'owner_id', 'FROM', 'Dogs', ')']","['select', 'count', '(', '*', ')', 'from', 'owners', 'where', 'owner_id', 'not', 'in', '(', 'select', 'owner_id', 'from', 'dogs', ')']","['How', 'many', 'owners', 'temporarily', 'do', 'not', 'have', 'any', 'dogs', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many owners temporarily do not have any dogs? <query> ",<strong>SELECT count(*) FROM owner WHERE owner_id NOT IN (SELECT owner_id FROM dog)</strong>
981,dog_kennels,SELECT count(*) FROM Owners WHERE owner_id NOT IN ( SELECT owner_id FROM Dogs ),Find the number of owners who do not own any dogs at this moment.,"['SELECT', 'count', '(', '*', ')', 'FROM', 'Owners', 'WHERE', 'owner_id', 'NOT', 'IN', '(', 'SELECT', 'owner_id', 'FROM', 'Dogs', ')']","['select', 'count', '(', '*', ')', 'from', 'owners', 'where', 'owner_id', 'not', 'in', '(', 'select', 'owner_id', 'from', 'dogs', ')']","['Find', 'the', 'number', 'of', 'owners', 'who', 'do', 'not', 'own', 'any', 'dogs', 'at', 'this', 'moment', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Find the number of owners who do not own any dogs at this moment. <query> ",<strong>SELECT count(*) FROM owner WHERE owner_id NOT IN (SELECT owner_id FROM dog)</strong>
982,dog_kennels,SELECT count(*) FROM Professionals WHERE professional_id NOT IN ( SELECT professional_id FROM Treatments ),How many professionals did not operate any treatment on dogs?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'Professionals', 'WHERE', 'professional_id', 'NOT', 'IN', '(', 'SELECT', 'professional_id', 'FROM', 'Treatments', ')']","['select', 'count', '(', '*', ')', 'from', 'professionals', 'where', 'professional_id', 'not', 'in', '(', 'select', 'professional_id', 'from', 'treatments', ')']","['How', 'many', 'professionals', 'did', 'not', 'operate', 'any', 'treatment', 'on', 'dogs', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many professionals did not operate any treatment on dogs? <query> "," <strong>SELECT count(*) FROM treatment WHERE T_Animal_Type  !=  ""Dog"" AND T_Professional_ID  !=  ""NULL""</strong>"
983,dog_kennels,SELECT count(*) FROM Professionals WHERE professional_id NOT IN ( SELECT professional_id FROM Treatments ),Find the number of professionals who have not treated any dogs.,"['SELECT', 'count', '(', '*', ')', 'FROM', 'Professionals', 'WHERE', 'professional_id', 'NOT', 'IN', '(', 'SELECT', 'professional_id', 'FROM', 'Treatments', ')']","['select', 'count', '(', '*', ')', 'from', 'professionals', 'where', 'professional_id', 'not', 'in', '(', 'select', 'professional_id', 'from', 'treatments', ')']","['Find', 'the', 'number', 'of', 'professionals', 'who', 'have', 'not', 'treated', 'any', 'dogs', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Find the number of professionals who have not treated any dogs. <query> ",<strong>SELECT count(*) FROM professional WHERE T1.id NOT IN (SELECT T2.id FROM professional AS T2 JOIN treatment AS T3 ON T2.id  =  T3.professional_id WHERE T3.pet_type  =  'dog')</strong>
984,dog_kennels,"SELECT name ,  age ,  weight FROM Dogs WHERE abandoned_yn  =  1","List the dog name, age and weight of the dogs who have been abandoned? 1 stands for yes, and 0 stands for no.","['SELECT', 'name', ',', 'age', ',', 'weight', 'FROM', 'Dogs', 'WHERE', 'abandoned_yn', '=', '1']","['select', 'name', ',', 'age', ',', 'weight', 'from', 'dogs', 'where', 'abandoned_yn', '=', 'value']","['List', 'the', 'dog', 'name', ',', 'age', 'and', 'weight', 'of', 'the', 'dogs', 'who', 'have', 'been', 'abandoned', '?', '1', 'stands', 'for', 'yes', ',', 'and', '0', 'stands', 'for', 'no', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List the dog name, age and weight of the dogs who have been abandoned? 1 stands for yes, and 0 stands for no. <query> "," <strong>SELECT dog_name ,  age ,  weight FROM dogs WHERE abandoned  =  1</strong>"
985,dog_kennels,"SELECT name ,  age ,  weight FROM Dogs WHERE abandoned_yn  =  1","What are the dog name, age and weight of the dogs that were abandoned? Note that 1 stands for yes, and 0 stands for no in the tables.","['SELECT', 'name', ',', 'age', ',', 'weight', 'FROM', 'Dogs', 'WHERE', 'abandoned_yn', '=', '1']","['select', 'name', ',', 'age', ',', 'weight', 'from', 'dogs', 'where', 'abandoned_yn', '=', 'value']","['What', 'are', 'the', 'dog', 'name', ',', 'age', 'and', 'weight', 'of', 'the', 'dogs', 'that', 'were', 'abandoned', '?', 'Note', 'that', '1', 'stands', 'for', 'yes', ',', 'and', '0', 'stands', 'for', 'no', 'in', 'the', 'tables', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the dog name, age and weight of the dogs that were abandoned? Note that 1 stands for yes, and 0 stands for no in the tables. <query> "," <strong>SELECT dog_name ,  age ,  weight FROM dogs WHERE abandoned  =  1</strong>"
986,dog_kennels,SELECT avg(age) FROM Dogs,What is the average age of all the dogs?,"['SELECT', 'avg', '(', 'age', ')', 'FROM', 'Dogs']","['select', 'avg', '(', 'age', ')', 'from', 'dogs']","['What', 'is', 'the', 'average', 'age', 'of', 'all', 'the', 'dogs', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the average age of all the dogs? <query> ",<strong>SELECT avg(age) FROM dog</strong>
987,dog_kennels,SELECT avg(age) FROM Dogs,Compute the average age of all the dogs.,"['SELECT', 'avg', '(', 'age', ')', 'FROM', 'Dogs']","['select', 'avg', '(', 'age', ')', 'from', 'dogs']","['Compute', 'the', 'average', 'age', 'of', 'all', 'the', 'dogs', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Compute the average age of all the dogs. <query> ",<strong>SELECT avg(age) FROM dog</strong>
988,dog_kennels,SELECT max(age) FROM Dogs,What is the age of the oldest dog?,"['SELECT', 'max', '(', 'age', ')', 'FROM', 'Dogs']","['select', 'max', '(', 'age', ')', 'from', 'dogs']","['What', 'is', 'the', 'age', 'of', 'the', 'oldest', 'dog', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the age of the oldest dog? <query> ",<strong>SELECT max(age) FROM dog</strong>
989,dog_kennels,SELECT max(age) FROM Dogs,Tell me the age of the oldest dog.,"['SELECT', 'max', '(', 'age', ')', 'FROM', 'Dogs']","['select', 'max', '(', 'age', ')', 'from', 'dogs']","['Tell', 'me', 'the', 'age', 'of', 'the', 'oldest', 'dog', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Tell me the age of the oldest dog. <query> ",<strong>SELECT max(age) FROM dogs</strong>
990,dog_kennels,"SELECT charge_type ,  charge_amount FROM Charges",How much does each charge type costs? List both charge type and amount.,"['SELECT', 'charge_type', ',', 'charge_amount', 'FROM', 'Charges']","['select', 'charge_type', ',', 'charge_amount', 'from', 'charges']","['How', 'much', 'does', 'each', 'charge', 'type', 'costs', '?', 'List', 'both', 'charge', 'type', 'and', 'amount', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How much does each charge type costs? List both charge type and amount. <query> "," <strong>SELECT Charge_Type ,  SUM(Amount) FROM Charges GROUP BY Charge_Type</strong>"
991,dog_kennels,"SELECT charge_type ,  charge_amount FROM Charges",List each charge type and its amount.,"['SELECT', 'charge_type', ',', 'charge_amount', 'FROM', 'Charges']","['select', 'charge_type', ',', 'charge_amount', 'from', 'charges']","['List', 'each', 'charge', 'type', 'and', 'its', 'amount', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List each charge type and its amount. <query> "," <strong>SELECT charge_type ,  sum(amount) FROM charges GROUP BY charge_type</strong>"
992,dog_kennels,SELECT max(charge_amount) FROM Charges,How much does the most expensive charge type costs?,"['SELECT', 'max', '(', 'charge_amount', ')', 'FROM', 'Charges']","['select', 'max', '(', 'charge_amount', ')', 'from', 'charges']","['How', 'much', 'does', 'the', 'most', 'expensive', 'charge', 'type', 'costs', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How much does the most expensive charge type costs? <query> ",<strong>SELECT max(charge_type_cost) FROM charges_types</strong>
993,dog_kennels,SELECT max(charge_amount) FROM Charges,What is the charge amount of the most expensive charge type?,"['SELECT', 'max', '(', 'charge_amount', ')', 'FROM', 'Charges']","['select', 'max', '(', 'charge_amount', ')', 'from', 'charges']","['What', 'is', 'the', 'charge', 'amount', 'of', 'the', 'most', 'expensive', 'charge', 'type', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the charge amount of the most expensive charge type? <query> ",<strong>SELECT charge_amount FROM charges ORDER BY charge_amount DESC LIMIT 1</strong>
994,dog_kennels,"SELECT email_address ,  cell_number ,  home_phone FROM professionals","List the email, cell phone and home phone of all the professionals.","['SELECT', 'email_address', ',', 'cell_number', ',', 'home_phone', 'FROM', 'professionals']","['select', 'email_address', ',', 'cell_number', ',', 'home_phone', 'from', 'professionals']","['List', 'the', 'email', ',', 'cell', 'phone', 'and', 'home', 'phone', 'of', 'all', 'the', 'professionals', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List the email, cell phone and home phone of all the professionals. <query> "," <strong>SELECT T1.email ,  T1.cell_phone ,  T1.home_phone FROM professional AS T1</strong>"
995,dog_kennels,"SELECT email_address ,  cell_number ,  home_phone FROM professionals","What are the email, cell phone and home phone of each professional?","['SELECT', 'email_address', ',', 'cell_number', ',', 'home_phone', 'FROM', 'professionals']","['select', 'email_address', ',', 'cell_number', ',', 'home_phone', 'from', 'professionals']","['What', 'are', 'the', 'email', ',', 'cell', 'phone', 'and', 'home', 'phone', 'of', 'each', 'professional', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the email, cell phone and home phone of each professional? <query> "," <strong>SELECT email ,  cell_phone ,  home_phone FROM professional</strong>"
996,dog_kennels,"SELECT DISTINCT breed_code ,  size_code FROM dogs",What are all the possible breed type and size type combinations?,"['SELECT', 'DISTINCT', 'breed_code', ',', 'size_code', 'FROM', 'dogs']","['select', 'distinct', 'breed_code', ',', 'size_code', 'from', 'dogs']","['What', 'are', 'all', 'the', 'possible', 'breed', 'type', 'and', 'size', 'type', 'combinations', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are all the possible breed type and size type combinations? <query> "," <strong>SELECT DISTINCT Breed_type ,  Size_type FROM Dog_info</strong>"
997,dog_kennels,"SELECT DISTINCT breed_code ,  size_code FROM dogs",Find the distinct breed type and size type combinations for dogs.,"['SELECT', 'DISTINCT', 'breed_code', ',', 'size_code', 'FROM', 'dogs']","['select', 'distinct', 'breed_code', ',', 'size_code', 'from', 'dogs']","['Find', 'the', 'distinct', 'breed', 'type', 'and', 'size', 'type', 'combinations', 'for', 'dogs', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Find the distinct breed type and size type combinations for dogs. <query> "," <strong>SELECT DISTINCT breed_type ,  size_type FROM dog_info</strong>"
998,dog_kennels,"SELECT DISTINCT T1.first_name ,  T3.treatment_type_description FROM professionals AS T1 JOIN Treatments AS T2 ON T1.professional_id  =  T2.professional_id JOIN Treatment_types AS T3 ON T2.treatment_type_code  =  T3.treatment_type_code",List the first name of all the professionals along with the description of the treatment they have done.,"['SELECT', 'DISTINCT', 'T1.first_name', ',', 'T3.treatment_type_description', 'FROM', 'professionals', 'AS', 'T1', 'JOIN', 'Treatments', 'AS', 'T2', 'ON', 'T1.professional_id', '=', 'T2.professional_id', 'JOIN', 'Treatment_types', 'AS', 'T3', 'ON', 'T2.treatment_type_code', '=', 'T3.treatment_type_code']","['select', 'distinct', 't1', '.', 'first_name', ',', 't3', '.', 'treatment_type_description', 'from', 'professionals', 'as', 't1', 'join', 'treatments', 'as', 't2', 'on', 't1', '.', 'professional_id', '=', 't2', '.', 'professional_id', 'join', 'treatment_types', 'as', 't3', 'on', 't2', '.', 'treatment_type_code', '=', 't3', '.', 'treatment_type_code']","['List', 'the', 'first', 'name', 'of', 'all', 'the', 'professionals', 'along', 'with', 'the', 'description', 'of', 'the', 'treatment', 'they', 'have', 'done', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List the first name of all the professionals along with the description of the treatment they have done. <query> "," <strong>SELECT T1.first_name ,  T2.description FROM professionals AS T1 JOIN treatments AS T2 ON T1.id  =  T2.professional_id</strong>"
999,dog_kennels,"SELECT DISTINCT T1.first_name ,  T3.treatment_type_description FROM professionals AS T1 JOIN Treatments AS T2 ON T1.professional_id  =  T2.professional_id JOIN Treatment_types AS T3 ON T2.treatment_type_code  =  T3.treatment_type_code",What are each professional's first name and description of the treatment they have performed?,"['SELECT', 'DISTINCT', 'T1.first_name', ',', 'T3.treatment_type_description', 'FROM', 'professionals', 'AS', 'T1', 'JOIN', 'Treatments', 'AS', 'T2', 'ON', 'T1.professional_id', '=', 'T2.professional_id', 'JOIN', 'Treatment_types', 'AS', 'T3', 'ON', 'T2.treatment_type_code', '=', 'T3.treatment_type_code']","['select', 'distinct', 't1', '.', 'first_name', ',', 't3', '.', 'treatment_type_description', 'from', 'professionals', 'as', 't1', 'join', 'treatments', 'as', 't2', 'on', 't1', '.', 'professional_id', '=', 't2', '.', 'professional_id', 'join', 'treatment_types', 'as', 't3', 'on', 't2', '.', 'treatment_type_code', '=', 't3', '.', 'treatment_type_code']","['What', 'are', 'each', 'professional', ""'s"", 'first', 'name', 'and', 'description', 'of', 'the', 'treatment', 'they', 'have', 'performed', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are each professional's first name and description of the treatment they have performed? <query> "," <strong>SELECT T1.first_name ,  T2.description FROM professionals AS T1 JOIN treatments AS T2 ON T1.professional_id  =  T2.professional_id</strong>"
1000,singer,SELECT count(*) FROM singer,How many singers are there?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'singer']","['select', 'count', '(', '*', ')', 'from', 'singer']","['How', 'many', 'singers', 'are', 'there', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many singers are there? <query> ",<strong>SELECT count(*) FROM Singer</strong>
1001,singer,SELECT count(*) FROM singer,What is the count of singers?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'singer']","['select', 'count', '(', '*', ')', 'from', 'singer']","['What', 'is', 'the', 'count', 'of', 'singers', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the count of singers? <query> ",<strong>SELECT count(*) FROM Singer</strong>
1002,singer,SELECT Name FROM singer ORDER BY Net_Worth_Millions ASC,List the name of singers in ascending order of net worth.,"['SELECT', 'Name', 'FROM', 'singer', 'ORDER', 'BY', 'Net_Worth_Millions', 'ASC']","['select', 'name', 'from', 'singer', 'order', 'by', 'net_worth_millions', 'asc']","['List', 'the', 'name', 'of', 'singers', 'in', 'ascending', 'order', 'of', 'net', 'worth', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List the name of singers in ascending order of net worth. <query> ",<strong>SELECT name FROM singer ORDER BY net_worth ASC</strong>
1003,singer,SELECT Name FROM singer ORDER BY Net_Worth_Millions ASC,What are the names of singers ordered by ascending net worth?,"['SELECT', 'Name', 'FROM', 'singer', 'ORDER', 'BY', 'Net_Worth_Millions', 'ASC']","['select', 'name', 'from', 'singer', 'order', 'by', 'net_worth_millions', 'asc']","['What', 'are', 'the', 'names', 'of', 'singers', 'ordered', 'by', 'ascending', 'net', 'worth', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names of singers ordered by ascending net worth? <query> ",<strong>SELECT name FROM Singer ORDER BY net_worth ASC</strong>
1004,singer,"SELECT Birth_Year ,  Citizenship FROM singer",What are the birth year and citizenship of singers?,"['SELECT', 'Birth_Year', ',', 'Citizenship', 'FROM', 'singer']","['select', 'birth_year', ',', 'citizenship', 'from', 'singer']","['What', 'are', 'the', 'birth', 'year', 'and', 'citizenship', 'of', 'singers', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the birth year and citizenship of singers? <query> "," <strong>SELECT birth_year ,  citizenship FROM singer</strong>"
1005,singer,"SELECT Birth_Year ,  Citizenship FROM singer",What are the birth years and citizenships of the singers?,"['SELECT', 'Birth_Year', ',', 'Citizenship', 'FROM', 'singer']","['select', 'birth_year', ',', 'citizenship', 'from', 'singer']","['What', 'are', 'the', 'birth', 'years', 'and', 'citizenships', 'of', 'the', 'singers', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the birth years and citizenships of the singers? <query> "," <strong>SELECT birth_year ,  citizenship FROM singer</strong>"
1006,singer,"SELECT Name FROM singer WHERE Citizenship != ""France""","List the name of singers whose citizenship is not ""France"".","['SELECT', 'Name', 'FROM', 'singer', 'WHERE', 'Citizenship', '!', '=', '``', 'France', ""''""]","['select', 'name', 'from', 'singer', 'where', 'citizenship', '!', '=', 'value']","['List', 'the', 'name', 'of', 'singers', 'whose', 'citizenship', 'is', 'not', '``', 'France', ""''"", '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List the name of singers whose citizenship is not ""France"". <query> "," <strong>SELECT T1.name FROM Singer AS T1 WHERE T1.citizenship != ""France""</strong>"
1007,singer,"SELECT Name FROM singer WHERE Citizenship != ""France""",What are the names of the singers who are not French citizens?,"['SELECT', 'Name', 'FROM', 'singer', 'WHERE', 'Citizenship', '!', '=', '``', 'France', ""''""]","['select', 'name', 'from', 'singer', 'where', 'citizenship', '!', '=', 'value']","['What', 'are', 'the', 'names', 'of', 'the', 'singers', 'who', 'are', 'not', 'French', 'citizens', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names of the singers who are not French citizens? <query> "," <strong>SELECT T1.name FROM Singer AS T1 JOIN Citizen AS T2 ON T1.citizen_id  =  T2.citizen_id WHERE T2.country  !=  ""France""</strong>"
1008,singer,SELECT Name FROM singer WHERE Birth_Year  =  1948 OR Birth_Year  =  1949,Show the name of singers whose birth year is either 1948 or 1949?,"['SELECT', 'Name', 'FROM', 'singer', 'WHERE', 'Birth_Year', '=', '1948', 'OR', 'Birth_Year', '=', '1949']","['select', 'name', 'from', 'singer', 'where', 'birth_year', '=', 'value', 'or', 'birth_year', '=', 'value']","['Show', 'the', 'name', 'of', 'singers', 'whose', 'birth', 'year', 'is', 'either', '1948', 'or', '1949', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show the name of singers whose birth year is either 1948 or 1949? <query> "," <strong>SELECT name FROM singer WHERE birth_year IN (1948, 1949)</strong>"
1009,singer,SELECT Name FROM singer WHERE Birth_Year  =  1948 OR Birth_Year  =  1949,What are the names of the singers whose birth years are either 1948 or 1949?,"['SELECT', 'Name', 'FROM', 'singer', 'WHERE', 'Birth_Year', '=', '1948', 'OR', 'Birth_Year', '=', '1949']","['select', 'name', 'from', 'singer', 'where', 'birth_year', '=', 'value', 'or', 'birth_year', '=', 'value']","['What', 'are', 'the', 'names', 'of', 'the', 'singers', 'whose', 'birth', 'years', 'are', 'either', '1948', 'or', '1949', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names of the singers whose birth years are either 1948 or 1949? <query> "," <strong>SELECT name FROM Singer WHERE birth_year IN (1948, 1949)</strong>"
1010,singer,SELECT Name FROM singer ORDER BY Net_Worth_Millions DESC LIMIT 1,What is the name of the singer with the largest net worth?,"['SELECT', 'Name', 'FROM', 'singer', 'ORDER', 'BY', 'Net_Worth_Millions', 'DESC', 'LIMIT', '1']","['select', 'name', 'from', 'singer', 'order', 'by', 'net_worth_millions', 'desc', 'limit', 'value']","['What', 'is', 'the', 'name', 'of', 'the', 'singer', 'with', 'the', 'largest', 'net', 'worth', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the name of the singer with the largest net worth? <query> ",<strong>SELECT T1.name FROM Singer AS T1 JOIN Net_Worth AS T2 ON T1.Singer_ID  =  T2.Singer_ID GROUP BY T1.name ORDER BY T2.Net_Worth DESC LIMIT 1</strong>
1011,singer,SELECT Name FROM singer ORDER BY Net_Worth_Millions DESC LIMIT 1,What is the name of the singer who is worth the most?,"['SELECT', 'Name', 'FROM', 'singer', 'ORDER', 'BY', 'Net_Worth_Millions', 'DESC', 'LIMIT', '1']","['select', 'name', 'from', 'singer', 'order', 'by', 'net_worth_millions', 'desc', 'limit', 'value']","['What', 'is', 'the', 'name', 'of', 'the', 'singer', 'who', 'is', 'worth', 'the', 'most', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the name of the singer who is worth the most? <query> ",<strong>SELECT T1.name FROM Singer AS T1 JOIN Album AS T2 ON T1.Singer_ID  =  T2.Singer_ID GROUP BY T1.name ORDER BY sum(T2.Price) DESC LIMIT 1</strong>
1012,singer,"SELECT Citizenship ,  COUNT(*) FROM singer GROUP BY Citizenship",Show different citizenship of singers and the number of singers of each citizenship.,"['SELECT', 'Citizenship', ',', 'COUNT', '(', '*', ')', 'FROM', 'singer', 'GROUP', 'BY', 'Citizenship']","['select', 'citizenship', ',', 'count', '(', '*', ')', 'from', 'singer', 'group', 'by', 'citizenship']","['Show', 'different', 'citizenship', 'of', 'singers', 'and', 'the', 'number', 'of', 'singers', 'of', 'each', 'citizenship', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show different citizenship of singers and the number of singers of each citizenship. <query> "," <strong>SELECT citizenship ,  count(*) FROM singer GROUP BY citizenship</strong>"
1013,singer,"SELECT Citizenship ,  COUNT(*) FROM singer GROUP BY Citizenship","For each citizenship, how many singers are from that country?","['SELECT', 'Citizenship', ',', 'COUNT', '(', '*', ')', 'FROM', 'singer', 'GROUP', 'BY', 'Citizenship']","['select', 'citizenship', ',', 'count', '(', '*', ')', 'from', 'singer', 'group', 'by', 'citizenship']","['For', 'each', 'citizenship', ',', 'how', 'many', 'singers', 'are', 'from', 'that', 'country', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> For each citizenship, how many singers are from that country? <query> "," <strong>SELECT citizenship ,  count(*) FROM Singer GROUP BY citizenship</strong>"
1014,singer,SELECT Citizenship FROM singer GROUP BY Citizenship ORDER BY COUNT(*) DESC LIMIT 1,Please show the most common citizenship of singers.,"['SELECT', 'Citizenship', 'FROM', 'singer', 'GROUP', 'BY', 'Citizenship', 'ORDER', 'BY', 'COUNT', '(', '*', ')', 'DESC', 'LIMIT', '1']","['select', 'citizenship', 'from', 'singer', 'group', 'by', 'citizenship', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['Please', 'show', 'the', 'most', 'common', 'citizenship', 'of', 'singers', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Please show the most common citizenship of singers. <query> ",<strong>SELECT citizenship FROM singer GROUP BY citizenship ORDER BY count(*) DESC LIMIT 1</strong>
1015,singer,select citizenship from singer group by citizenship order by count(*) desc limit 1,What is the most common singer citizenship ?,"['select', 'citizenship', 'from', 'singer', 'group', 'by', 'citizenship', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', '1']","['select', 'citizenship', 'from', 'singer', 'group', 'by', 'citizenship', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['What', 'is', 'the', 'most', 'common', 'singer', 'citizenship', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the most common singer citizenship ? <query> ",<strong>SELECT citizenship FROM singer GROUP BY citizenship ORDER BY count(*) DESC LIMIT 1</strong>
